dir_name	evalue_chlI_bchI	evalue_chlD_bchD	evalue_chlH_bchH	evalue_cobN	evalue_cobS	evalue_cobT	evalue_bchE	evalue_chlB_bchB	evalue_chlG_bchG	evalue_chlL_bchL	evalue_chlM_bchM	evalue_chlN_bchN	evalue_cobD_cobC	evalue_cobO	evalue_cobP_cobU	evalue_cobQ	evalue_cobV_cobS	evalue_cysG_cobA
Mycobacterium_avium_subsp_paratuberculosis_K_10	0	1.38171e-53	1	0	1	1	1	1	1	1	6.09309e-15	1	3.78396e-147	2.63084e-125	1	5.69422e-154	2.3738e-103	2.43365e-29
Prochlorococcus_marinus_subsp_marinus_str_CCMP1375	0	0	0	0	1	1	1.60466e-63	0	4.30068e-160	1.98202e-155	8.73245e-76	1.17887e-175	4.97691e-37	1.612e-71	3.72231e-30	2.3003e-110	1.36883e-13	9.28558e-71
Treponema_denticola_ATCC_35405	1.89123e-93	1.68454e-38	1	0	1	1	1	1	1	1	1.91564e-16	1	5.70567e-43	2.16686e-45	1.56271e-37	1.32649e-85	6.79971e-22	8.31848e-43
Methanothermobacter_thermautotrophicus_str_Delta_H	1.32438e-121	1.059e-72	1.01956e-146	4.94065e-97	1	1	1.78506e-57	1.45741e-31	5.18902e-20	2.35239e-60	1	1	2.30102e-70	1	1	1.05543e-160	5.23008e-40	4.20522e-92
Ralstonia_solanacearum_GMI1000	1	3.56854e-111	1	9.46758e-147	1	1	1	1	1	1	1.09157e-16	1	2.9673e-99	1.27572e-79	4.1684e-54	0	5.42901e-34	1.14297e-57
Streptomyces_avermitilis_MA_4680_NBRC_14893	1	1.56483e-74	1	0	1	1	6.66613e-20	1	1	1	3.84376e-16	1	1.2176e-92	7.28852e-97	5.0121e-41	2.72296e-172	2.8014e-30	2.5375e-158
Synechococcus_elongatus_PCC_6301	0	0	0	0	1	1	7.05627e-117	0	1	0	2.12378e-109	0	8.06689e-41	4.93783e-77	6.19068e-36	8.11614e-134	1	1.03019e-68
Streptomyces_griseus_subsp_griseus_NBRC_13350	1	1.16004e-71	1	0	1	1	7.68476e-31	1	1	1	1.52818e-15	1	1.72877e-92	1.70334e-96	1.48765e-43	1.57165e-168	4.85337e-31	1.42451e-147
Microcystis_aeruginosa_NIES_843	0	0	0	0	1	1	3.82862e-119	0	0	0	3.7097e-129	0	4.91694e-42	6.06189e-81	1.61851e-32	1.51414e-125	2.86339e-25	3.74436e-79
Thermoplasma_volcanium_GSS1	1	1.02311e-70	1	1	1	1	1.02564e-38	1	1	1	5.80234e-14	1	9.50972e-52	3.88967e-34	1	9.70502e-94	1	6.57383e-33
Corynebacterium_efficiens_YS_314	0	5.91979e-56	1	1	1	1	1	1	1	8.71173e-11	9.47848e-16	1	2.74309e-83	1	1	5.04058e-136	3.75979e-24	5.84603e-80
Corynebacterium_glutamicum_ATCC_13032	0	2.62983e-53	1	1	1	1	1	1	1	1	1.5155e-15	1	5.86208e-18	1	1.21777e-48	1	1.1615e-22	1.91214e-79
Thermosynechococcus_elongatus_BP_1	0	0	0	0	1	1	6.74689e-112	0	0	0	4.82734e-106	0	6.06328e-42	8.94386e-83	2.40881e-31	8.7626e-128	4.80736e-20	3.14553e-78
Gloeobacter_violaceus_PCC_7421	0	0	0	0	1	1	1.01621e-114	0	4.59752e-154	6.57888e-166	1.54921e-91	0	3.47787e-55	1.50676e-77	1.88297e-32	5.10535e-130	1	6.53022e-75
Prochlorococcus_marinus_subsp_pastoris_str_CCMP1986	0	0	0	0	1	1	3.1639e-102	0	2.62417e-155	4.98589e-158	9.4423e-77	1.18658e-168	1.13271e-36	1.44298e-67	2.10025e-29	1.05427e-105	1	2.60432e-69
Prochlorococcus_marinus_str_MIT_9313	0	0	0	0	1	1	4.35107e-62	0	2.95196e-160	2.46632e-156	9.21624e-80	5.70147e-173	1.08797e-31	7.30444e-68	1.09379e-27	1.43745e-110	1	5.59601e-70
Burkholderia_pseudomallei_K96243	1	3.20301e-51	1	0	1	1	2.62104e-40	1	1	1	7.84895e-18	1	2.42138e-100	9.608e-76	3.25542e-46	0	7.41155e-30	7.91665e-77
Thermobifida_fusca_YX	0	4.43227e-59	1	0	1	1	1	1	1	1	3.83258e-18	1	1.13248e-95	9.08187e-105	1.4927e-49	0	3.46708e-34	8.33574e-137
Prochlorococcus_marinus_str_NATL2A	0	0	0	0	1	1	1.02202e-69	0	1.42277e-157	7.1851e-156	2.68224e-87	6.5809e-175	3.57999e-37	2.10471e-70	3.43437e-24	8.26142e-105	8.72855e-16	2.49797e-70
Chlorobium_chlorochromatii_CaD3	9.78145e-152	1.77143e-121	0	1	1	1	0	0	0	0	2.0683e-146	0	3.5886e-57	1.17225e-40	2.64401e-49	1.08661e-129	1.69783e-18	3.42479e-66
Prochlorococcus_marinus_str_MIT_9312	0	0	0	0	1	1	1.54434e-97	0	4.47706e-155	2.22345e-158	7.12431e-76	1.65101e-170	2.42897e-30	4.07955e-68	1.49503e-28	1.4509e-106	1.28351e-13	1.7573e-72
Rhodobacter_sphaeroides_2_4_1	0	0	0	1.04523e-133	0	0	0	0	0	0	9.60404e-171	0	7.6853e-73	2.06435e-89	1.83222e-56	0	5.30043e-36	3.86997e-56
Hahella_chejuensis_KCTC_2396	1	5.26255e-60	1	0	1	1	4.44349e-26	1	1	1	6.1067e-15	1	3.50736e-94	6.97552e-77	6.16675e-65	0	2.79055e-27	1.33484e-68
Rhodospirillum_rubrum_ATCC_11170	2.57972e-149	2.30203e-93	0	0	0	0	0	0	1.29827e-125	2.9504e-161	1.37195e-73	0	3.15471e-67	6.99833e-89	1.00128e-52	0	1.27188e-35	2.35301e-104
Frankia_casuarinae	2.50092e-175	1.70555e-63	1	0	1	1	1.10574e-35	5.68752e-16	1	1.4865e-50	7.30357e-14	1	2.27431e-96	1	1.73287e-35	2.60849e-169	2.87071e-27	1.6888e-84
Rhodopseudomonas_palustris_HaA2	3.072e-148	2.17186e-99	0	0	0	0	0	0	4.40074e-112	6.38733e-165	5.56796e-69	0	1.15976e-72	2.31466e-89	3.7448e-64	0	5.7773e-23	1.12695e-57
Methanospirillum_hungatei_JF_1	7.99687e-78	1.75824e-123	1	0	1	1	1	1.73551e-14	9.74382e-19	1.64867e-63	7.87219e-15	1	1.30666e-50	3.06452e-39	1	9.67633e-111	7.11139e-36	8.62832e-69
Paraburkholderia_xenovorans_LB400	1	1.38427e-64	1	0	4.17461e-161	5.42722e-79	6.40036e-40	1	1	1.74168e-50	1.01153e-16	1	3.85059e-103	1.23728e-75	1.94683e-44	0	7.75697e-28	9.022e-83
Rhodopseudomonas_palustris_BisB18	3.10563e-148	2.96016e-99	0	1.84831e-154	0	0	0	0	1.8207e-113	2.61109e-164	7.25725e-70	0	9.61253e-99	6.51275e-95	9.86342e-63	0	1	1.10286e-57
Rubrobacter_xylanophilus_DSM_9941	1	1.53545e-109	1	0	1	1	1	4.5269e-55	5.94092e-18	1	5.11184e-13	7.76738e-53	1.46952e-58	1.81708e-78	1.03065e-40	6.24734e-157	1	3.19502e-78
Trichodesmium_erythraeum_IMS101	0	0	0	0	1	1	9.14854e-117	0	0	0	1.0503e-122	0	9.44976e-43	3.06181e-75	6.61701e-37	2.91898e-129	1	5.78402e-77
Rhodococcus_jostii_RHA1	0	9.17591e-96	1	0	1.78467e-159	5.03196e-79	1	1	1	1	1.52613e-15	1	1.36857e-109	5.90784e-118	1	3.15419e-158	3.56741e-54	0
Rhodopseudomonas_palustris_BisA53	4.03856e-153	1.88788e-96	0	0	0	0	0	0	5.93221e-111	4.26699e-159	4.5568e-72	0	2.73247e-92	1.19687e-90	9.73685e-63	0	2.31244e-23	1.26542e-59
Syntrophobacter_fumaroxidans_MPOB	3.09979e-123	1.55886e-75	1	8.93732e-158	1	1	2.82877e-39	3.34964e-16	1	2.7332e-54	2.90623e-17	1	3.81812e-51	1.60189e-63	4.82657e-56	7.70538e-136	6.97062e-31	1.49093e-76
Mycobacterium_smegmatis_str_MC2_155	0	1.04429e-86	1	0	1	1	1	1	1	1	4.87347e-16	1	1.67785e-135	9.53998e-118	1	5.29649e-151	6.00633e-90	0
Pelobacter_propionicus_DSM_2379	9.17867e-128	3.11144e-107	2.0904e-159	0	1	1	6.82775e-51	1.70743e-14	1	1.6242e-50	1	1	1.53368e-58	8.55219e-48	8.32159e-60	7.53678e-147	1	9.41584e-83
Chlorobium_phaeobacteroides_DSM_266	5.07508e-151	5.22999e-125	0	1	1	1	0	0	0	0	0	0	2.9032e-54	3.40544e-44	1.25916e-48	3.11787e-128	1.93751e-21	8.78901e-61
Mycobacterium_vanbaalenii_PYR_1	0	1.21251e-53	1	0	1	1	1	1	1	1	2.05852e-15	1	1.96289e-124	2.33078e-126	8.80974e-89	0	3.0495e-86	0
Halorhodospira_halophila_SL1	1.38339e-151	5.08756e-74	0	1	1	1	0	0	2.17947e-119	8.33113e-163	6.87978e-72	4.3934e-167	1.98013e-77	1.30809e-83	5.03919e-56	2.91911e-155	8.74242e-58	1.05852e-68
Prochlorococcus_marinus_str_AS9601	0	0	0	0	1	1	2.0863e-97	0	3.02373e-155	3.01808e-158	3.29692e-74	5.85139e-169	7.29444e-33	3.8448e-67	7.03045e-29	8.47073e-109	7.26857e-15	4.43402e-72
Prochlorococcus_marinus_str_MIT_9515	0	0	0	0	1	1	6.64699e-101	0	1.01846e-156	1.11802e-157	2.3328e-75	5.69822e-167	2.85756e-33	4.07348e-70	1	8.93172e-111	3.25319e-13	7.45618e-75
Chlorobium_phaeovibrioides_DSM_265	1.03516e-149	1.72248e-119	0	1	1	1	0	0	0	0	2.67744e-143	0	1.98172e-53	7.04557e-42	7.94864e-55	3.05267e-135	2.1339e-20	5.11806e-61
Rhodospirillum_centenum_SW	9.09244e-150	6.90463e-105	0	1	0	0	0	0	5.17594e-116	2.06017e-164	1.30942e-76	0	4.20282e-89	1	6.92761e-30	3.67249e-179	1.6674e-38	4.35949e-67
Rhodobacter_sphaeroides_ATCC_17025	0	0	0	9.07863e-137	0	0	0	0	0	0	1.36129e-160	0	1.50457e-72	3.92112e-89	2.15923e-55	0	2.17696e-34	1.06304e-53
Salinispora_tropica_CNB_440	1	3.93917e-63	1	0	1	1	2.99407e-22	1	1	1	3.1594e-17	1	1.62007e-82	1.96193e-102	1	0	1.79736e-37	4.70132e-132
Pseudomonas_mendocina_ymp	1	2.4885e-65	1	0	1	1	1	1	1	1	1.16523e-16	1	8.79103e-144	6.76658e-133	5.60527e-88	0	9.34527e-86	6.46938e-140
Metallosphaera_sedula_DSM_5348	1	8.58205e-67	1	1.04142e-151	1	1	6.55163e-50	1	1.37525e-17	1	7.52686e-17	1	3.20624e-45	1	1	3.87395e-75	7.39116e-19	9.09938e-73
Methanococcus_vannielii_SB	1	1.83972e-95	8.1923e-157	1	1	1	2.54911e-15	1.73075e-14	5.64077e-23	8.66896e-65	1	1	2.86449e-130	1	1	0	1.01698e-58	9.39075e-125
Methanococcus_aeolicus_Nankai_3	1	1.00814e-70	3.70249e-138	0	1	1	4.76258e-21	3.84943e-31	7.75603e-25	3.85537e-61	8.64006e-13	1	1.81297e-136	1	1	0	7.4281e-47	6.10779e-121
Roseiflexus_castenholzii_DSM_13941	5.01576e-135	2.45344e-116	0	0	1	1	0	0	0	0	1.57368e-180	0	9.09963e-51	3.43337e-53	7.5387e-43	3.42368e-126	1	8.43793e-75
Acaryochloris_marina_MBIC11017	0	0	0	0	1	1	3.94712e-115	0	0	0	1.12148e-111	0	3.92846e-37	3.35438e-85	1.21404e-36	9.29728e-138	2.64139e-20	1.5236e-73
Dinoroseobacter_shibae_DFL_12_DSM_16493	0	3.80837e-146	0	0	0	0	0	0	3.29442e-155	0	3.35395e-104	0	6.87093e-76	7.38978e-94	9.56719e-55	0	6.38404e-36	1.85149e-124
Salinispora_arenicola_CNS_205	1	2.64953e-64	1	0	1	1	1.62976e-25	1	1	1	8.37132e-15	1	1.81252e-81	1.08454e-101	1	1.40252e-179	3.98754e-36	1.29709e-133
Alkaliphilus_oremlandii_OhILAs	1.45641e-107	1.31868e-101	3.56946e-165	1	1	1	1.12772e-21	2.27256e-22	1	2.35453e-63	9.23833e-15	1	2.39864e-53	1	3.5335e-41	2.80127e-128	3.3146e-22	5.99499e-59
Thermococcus_onnurineus_NA1	1	9.05338e-106	1.10046e-170	1	1	1	3.94149e-17	1	5.78218e-22	1.99282e-14	2.13453e-16	1	1.1161e-58	1.82988e-40	1	3.27043e-120	1.56324e-25	1
Prochlorococcus_marinus_str_MIT_9211	0	0	0	0	1	1	6.26951e-66	0	1.0258e-157	1.79434e-153	4.41344e-75	5.7752e-175	3.57322e-35	5.63189e-69	3.5528e-26	4.59177e-102	1	1.65502e-73
Chloroflexus_aurantiacus_J_10_fl	1.84105e-142	4.80674e-127	0	0	1	1	0	0	2.47699e-119	2.30956e-180	3.92771e-88	0	7.4524e-49	4.29706e-56	1.01386e-39	5.78125e-125	2.77793e-21	7.02505e-75
Heliobacterium_modesticaldum_Ice1	2.54201e-167	0	0	1	1	1	0	3.0167e-135	2.31787e-72	1.36692e-103	6.46317e-44	3.72013e-122	1.54972e-62	2.5669e-48	1.7014e-53	3.51832e-134	1	9.1549e-84
Methylobacterium_radiotolerans_JCM_2831	1.84841e-148	3.61374e-89	0	3.80049e-150	0	0	2.94287e-113	0	3.06845e-129	1.14167e-162	7.30456e-75	0	8.80645e-75	2.30799e-85	3.63499e-64	0	9.71919e-43	5.68977e-62
Methylobacterium_populi_BJ001	8.82019e-153	1.07127e-63	0	3.07464e-146	0	0	2.60217e-119	0	1.40166e-130	8.04445e-164	2.19765e-75	0	1.34102e-70	1.47832e-84	9.27993e-60	0	2.23657e-39	9.14967e-59
Nostoc_punctiforme_PCC_73102	0	0	0	0	1	1	5.9456e-116	0	0	0	1.51913e-121	0	9.9521e-42	2.26918e-82	9.11824e-33	2.98946e-136	9.99254e-16	1.67361e-72
Paraburkholderia_phymatum_STM815	1	2.86049e-67	1	0	4.2054e-162	1.59037e-76	5.27033e-42	1	1	2.08754e-49	2.20813e-15	1	7.67827e-101	3.79596e-77	1.12548e-45	0	3.95359e-30	1.0484e-78
Chlorobium_limicola_DSM_245	1.14739e-150	9.49896e-129	0	0	1	1	0	0	0	0	1.11885e-147	0	3.42253e-47	7.14417e-45	4.81237e-48	5.38637e-132	8.39012e-19	1.56203e-60
Chlorobaculum_parvum_NCIB_8327	9.39109e-150	1.9641e-129	0	1	1	1	0	0	0	0	3.20619e-140	0	5.69124e-60	1.08671e-40	7.19059e-52	5.33533e-135	2.04718e-24	3.90544e-62
Chloroherpeton_thalassium_ATCC_35110	1.80191e-156	1.07379e-120	0	0	1	1	0	0	0	1.19934e-159	3.6864e-94	0	6.17878e-53	2.92101e-25	6.12862e-41	7.31326e-117	4.61514e-28	4.75374e-61
Chlorobium_phaeobacteroides_BS1	6.19185e-150	1.61532e-130	0	1	1	1	0	0	0	0	2.24039e-134	0	2.80805e-50	1	4.77999e-50	7.36308e-137	4.63833e-19	2.63441e-60
Prosthecochloris_aestuarii_DSM_271	3.16728e-152	3.91164e-127	0	0	1	1	0	0	0	0	7.99858e-139	0	9.82087e-50	1	1.96682e-47	1.00521e-136	1.09175e-17	1.29383e-59
Pelodictyon_phaeoclathratiforme_BU_1	1.34087e-147	1.77617e-123	0	1	1	1	0	0	0	0	2.60164e-146	0	1.56292e-50	5.89322e-43	6.06453e-48	3.17064e-133	8.11762e-18	1.02835e-61
Deinococcus_deserti_VCD115	4.06126e-109	4.8709e-68	1	0	1	1	1	1	1	1	1	1	1.13202e-47	1.62257e-46	3.58956e-53	1.01411e-115	1.75398e-17	1.0168e-65
Thermodesulfovibrio_yellowstonii_DSM_11347	2.01587e-131	1.05123e-87	1	1	1	1	1.23556e-17	1.46155e-15	1.09911e-15	5.09831e-50	1	1	9.79859e-57	1.55787e-43	2.62898e-44	1.17494e-135	1	8.60169e-80
Methylocella_silvestris_BL2	1.52065e-146	9.05503e-79	0	2.73953e-169	0	0	7.28161e-117	0	1.23027e-117	6.52511e-159	1.36375e-73	0	1.38238e-76	2.08176e-81	2.89852e-67	0	1	2.28265e-55
Rhodobacter_capsulatus_SB_1003	0	1.04796e-156	0	8.28657e-140	0	0	0	0	3.09576e-153	6.69253e-180	2.04626e-108	0	5.99226e-77	4.95049e-86	7.42828e-72	0	3.06234e-38	1.30903e-51
Chloroflexus_aggregans_DSM_9485	7.20005e-145	3.01652e-125	0	0	1	1	0	0	6.65536e-119	5.30141e-180	5.81647e-92	0	9.07386e-48	4.59203e-54	5.08968e-40	9.46653e-123	3.6637e-20	5.02309e-70
Halorubrum_lacusprofundi_ATCC_49239	1	5.91278e-59	1	0	1	1	1	1	1.01859e-20	1	2.15148e-13	1	8.95568e-38	1.4543e-26	1	1.38427e-111	1	5.61383e-71
Dyadobacter_fermentans_DSM_18053	1	2.29788e-60	1	0	1	1	4.208e-21	1	8.29824e-19	1	4.48742e-14	1	8.25744e-55	1	1.97209e-40	1.52153e-120	1.18886e-29	3.74622e-69
Corynebacterium_kroppenstedtii_DSM_44385	6.56067e-98	2.86915e-57	0	0	1	1	1	1	1	1	4.37914e-14	1	2.79488e-81	1.08132e-107	2.70219e-38	6.57136e-127	1.29211e-26	6.7558e-83
Actinosynnema_mirum_DSM_43827	0	6.10656e-98	1	0	1	1	1	1	1.9464e-17	1	5.92977e-15	1	1.19614e-108	1.44278e-115	2.5497e-45	1.86975e-163	1.99677e-49	2.93391e-162
Acidimicrobium_ferrooxidans_DSM_10331	2.72308e-127	3.42057e-44	1	0	1	1	1	1	1	1	1	1	4.98031e-57	2.76944e-52	1.75617e-30	1.90798e-115	1	7.94882e-56
Saccharomonospora_viridis_DSM_43017	0	2.84159e-92	1	0	1	1	1	1	4.40847e-14	2.02692e-14	1.01788e-14	1	3.46818e-94	1.47234e-105	4.51282e-54	0	2.01409e-34	4.82996e-165
Slackia_heliotrinireducens_DSM_20476	1	7.59481e-56	1	1	1	1	1	1	1	1	1	1	1.36991e-49	1	1.55066e-19	2.09243e-131	1	8.45593e-72
Halomicrobium_mukohataei_DSM_12286	1	2.72722e-63	1	0	1	1	1	1	1	1	6.51634e-12	1	2.58125e-38	2.68654e-27	1	1.6388e-103	1	2.62898e-71
Catenulispora_acidiphila_DSM_44928	1	1.87876e-89	1	0	1	1	1.94986e-20	1	1	1	6.34522e-17	1	1.84195e-96	7.20534e-98	2.79687e-41	8.01627e-178	4.48126e-29	6.25287e-153
Kribbella_flavida_DSM_17836	0	7.34668e-48	1	0	1	1	1	1	2.34086e-15	1	4.96131e-18	1	6.10208e-91	3.70945e-112	8.78283e-44	0	3.00716e-24	9.91623e-148
Nakamurella_multipartita_DSM_44233	0	2.30728e-63	1	0	1	1	1	1	1	1	4.52787e-16	1	8.78559e-98	3.00274e-100	4.26949e-59	1.42245e-174	1.17073e-32	4.97595e-94
Thermomonospora_curvata_DSM_43183	0	3.08423e-106	1	0	1	1	2.19517e-24	1	1	1	2.05211e-11	1	9.19017e-25	2.03253e-94	2.45481e-42	1.24421e-177	4.47498e-28	7.83513e-153
Ammonifex_degensii_KC4	8.28278e-126	1.13669e-122	1	0	1	1	1.23438e-27	1	8.16591e-16	3.00832e-14	3.75377e-16	1	1.59884e-58	1.55322e-52	8.0414e-47	7.19675e-147	3.57428e-19	1.70852e-79
Methanocaldococcus_vulcanius_M7	1	6.933e-128	2.16213e-156	0	1	1	7.55845e-17	7.41807e-23	2.27861e-26	2.9783e-64	1	1	3.31528e-174	1	1	0	1.23352e-129	7.93803e-146
Gordonia_bronchialis_DSM_43247	0	3.57745e-55	1	0	1	1	1	1	1	1	1.83164e-14	1	7.47866e-98	2.15905e-111	1	2.07569e-143	5.80993e-49	4.73923e-172
Streptosporangium_roseum_DSM_43021	0	9.9408e-68	1	0	1	1	1	1	1	1	6.08733e-16	1	2.33548e-105	4.41986e-98	6.72233e-44	8.13636e-173	2.42763e-24	1.43054e-146
Veillonella_parvula_DSM_2008	6.25624e-109	1.49673e-43	1	0	1	1	3.64595e-17	1	1	1	9.63125e-16	1	4.73244e-58	8.72088e-54	1.06122e-49	5.33391e-138	9.43478e-25	4.44634e-76
Archaeoglobus_profundus_DSM_5631	4.47133e-32	2.13803e-102	5.02687e-170	1	1	1	6.83297e-57	1	4.24441e-15	1	1	1	1.80875e-70	1	1	1	3.18444e-25	8.4395e-89
Haloterrigena_turkmenica_DSM_5511	2.28793e-118	1.15306e-64	1	0	1	1	1	1	5.90262e-23	1	6.3602e-18	1	2.96882e-40	1.05114e-27	1	3.32017e-107	6.0073e-29	1.47941e-70
Geodermatophilus_obscurus_DSM_43160	1.77539e-176	4.67447e-65	1	0	1	1	1	1	1	1	9.75462e-15	1	7.16842e-103	4.59329e-110	1.19815e-49	1.09173e-175	5.08626e-30	4.74901e-136
Allochromatium_vinosum_DSM_180	1.79823e-148	7.40314e-98	0	1	1	7.44239e-13	0	0	1.63739e-116	5.20675e-164	3.07168e-74	0	6.37897e-70	1	1.03864e-33	0	2.91297e-52	2.85618e-70
Haloferax_volcanii_DS2	1	4.2635e-65	1	0	1	1	1	1	1.46101e-20	1	2.8791e-17	1	3.82007e-38	4.38939e-27	1	1.9559e-108	2.09127e-26	3.90536e-72
Natronomonas_pharaonis_DSM_2160	1	2.92957e-71	1	0	1	1	1	1	1.48835e-22	1	2.88654e-13	1	6.27023e-38	1.85735e-27	1	1.13213e-103	1	6.22684e-74
Saccharopolyspora_erythraea_NRRL_2338	0	4.75276e-66	1	0	1	1	1	1	1	1	3.12945e-18	1	1.10018e-103	4.68249e-109	1	1.31812e-165	1.00643e-52	1.27645e-159
Mycobacterium_abscessus	1	1.13655e-53	1	0	1	1	1	1	1	1	7.55678e-15	1	1.33615e-107	2.02892e-121	1	5.20892e-148	6.14757e-67	0
Streptomyces_scabiei_87_22	8.73085e-08	1.60005e-38	1	0	1	1	3.15606e-21	1	6.86904e-15	1	4.90535e-14	1	1.01611e-91	1.20242e-96	7.18013e-40	4.311e-166	4.96416e-31	6.71381e-153
Methanocaldococcus_jannaschii_DSM_2661	1	4.31856e-128	1	0	1	1	5.16535e-22	1	6.10633e-26	1.79682e-66	1.45076e-12	1	0	1	1	0	2.01976e-150	1.42051e-163
Tsukamurella_paurometabola_DSM_20162	0	7.69793e-80	1	0	1	1	1	1	1	1	1	1	7.53735e-101	5.68367e-110	1	4.71934e-165	5.89351e-48	4.3322e-173
Methanocaldococcus_infernus_ME	1	7.66916e-124	5.63438e-141	1	3.47939e-14	1	2.05274e-16	6.00157e-23	7.87214e-22	1.48251e-56	1	1	2.05996e-133	1	1	0	3.72813e-69	9.99841e-117
Streptomyces_bingchenggensis_BCW_1	1	2.61793e-70	1	0	1	1	1.2019e-28	1	1	1	9.4982e-15	1	1.33219e-83	3.39376e-95	1.19829e-43	1	1.99644e-28	1.0367e-162
Thermobispora_bispora_DSM_43833	0	4.43417e-66	1	0	1	1	4.20266e-22	1	1	1	1.54445e-14	1	4.4513e-102	1.57144e-98	1.29707e-37	2.0485e-169	2.97441e-26	1.14185e-148
Nocardiopsis_dassonvillei_subsp_dassonvillei_DSM_43111	6.18785e-171	2.54549e-62	1	0	1	1	1	1	1	1	2.5736e-18	1	2.7961e-86	1.55478e-105	2.47987e-48	0	1.6442e-28	4.85645e-134
Desulfarculus_baarsii_DSM_2075	1.68368e-118	5.83325e-116	5.10424e-130	0	1	1	2.71554e-53	7.47741e-15	1	3.98747e-54	3.77591e-14	1	9.52486e-48	1.48677e-50	1.36691e-62	1.81617e-143	1.9596e-26	5.0634e-77
Sediminispirochaeta_smaragdinae_DSM_11293	1	1.48004e-71	1	1	1	1	1	2.15479e-20	1	5.36407e-53	1.21824e-13	1	4.23336e-50	1	1.29037e-34	2.30497e-134	3.02978e-26	1.7645e-32
Brevundimonas_subvibrioides_ATCC_15264	3.51536e-146	5.28203e-84	0	1	0	0	2.29156e-116	0	1.72704e-117	2.50502e-167	3.16169e-78	0	1	1	1	1	1	5.82505e-62
Thermosediminibacter_oceani_DSM_16646	9.28573e-26	1.18292e-13	1	1	1	1	1.69617e-21	1	1	1	1.62161e-14	1	3.0744e-53	6.56742e-46	1.19123e-49	6.3103e-140	4.25498e-24	1.07157e-80
Corynebacterium_pseudotuberculosis_C231	1	1.47168e-53	1	0	1	1	1	1	1	1	1	1	1.29562e-82	2.09055e-114	1	2.08754e-144	3.13544e-25	2.00866e-85
Methanothermobacter_marburgensis_str_Marburg	1	1.48555e-98	1.19487e-150	1	1	1	7.94237e-61	4.95515e-28	2.06918e-20	3.39644e-58	7.74064e-13	1	1.90694e-69	1	1	3.55884e-157	9.24261e-39	7.58599e-90
Methanolacinia_petrolearia_DSM_11571	6.07362e-106	4.37827e-135	0	0	1	1	2.99338e-49	4.70891e-22	6.89235e-22	8.17001e-62	1.46494e-14	1	1.86524e-51	1.65908e-42	1	1.29577e-112	2.47205e-35	5.48678e-71
Thermococcus_barophilus_MP	1	6.18394e-105	2.42053e-175	1	1	1	5.24046e-20	1	6.26168e-25	1	2.62514e-16	1	1.02202e-64	1.27358e-40	1	1.46818e-121	2.89188e-29	1
Ferroplasma_acidarmanus_fer1	1	6.2813e-69	5.19224e-110	1	1	1	6.96575e-44	1	1.17047e-20	1	2.05607e-14	1	3.07807e-46	1	1	4.65011e-95	1.18668e-21	7.84002e-65
