org_id	bchD	bchE	bchH	bchI	bchI_f	chlB_bchB	chlD	chlG_bchG	chlH	chlI	chlI_f	chlL_bchL	chlM_bchM	chlN_bchN	cobD_cobC	cobN	cobO	cobP_cobU	cobQ	cobS	cobS_f	cobT	cobV_cobS	cysG_cobA
136848599	1	1	6.48e-53	4.5e-65	1	1	9.61e-47	5.18e-07	2.24e-141	1.37e-56	1	1	1.05e-05	1	9.44e-14	1.1e-180	2.2e-14	1	5.33e-76	1	1	1	1	2.23e-54
138471686	1.78e-25	1	1	1.12e-51	1	1	0	1	1	7.93e-51	1	1	1	1	1	1	1	1	1	1	1	1	1	1.22e-05
140348627	1	0.000308	1	6.05e-14	1	1	3.66e-15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
142292260	1.21e-05	1	1.67e-60	1.29e-71	1	1	1.33e-39	1	6.78e-128	1.69e-63	1	1	1	1	2.28e-43	0	4.44e-71	1	5.2e-125	1	1	1	1	1.11e-40
144266793	1.07e-07	1	3.2e-61	1.84e-81	1	1	3.77e-48	1	4.18e-119	3.15e-62	1	1	0.000463	1	1.29e-71	0	7.97e-70	2.29e-31	1.18e-118	3.68e-05	3.68e-05	1	1.28e-19	2.74e-111
145987512	2.16e-10	1	1	1.52e-81	1	1	5.8e-56	1	1	1.66e-79	1	1	1	1	6.38e-62	1	6.34e-73	1	2.44e-122	1	1	1	1	1
146079964	1.13e-09	1	1	1.81e-76	1	1	4.92e-41	1	1	1.57e-64	1	1	1	1	1	1	9.43e-82	1	4.93e-126	1	1	1	1	2.31e-107
147006684	4.12e-05	1	5.6e-45	1.16e-62	1	1	7.92e-40	1	2.96e-130	1.52e-48	1	1	1	1	1	2.02e-169	1	1	1	1	1	1	1	2.28e-25
147066127	3.97e-06	1	1.21e-58	2.23e-90	1	4.5e-49	1.95e-82	1	3e-146	6.85e-66	1	1	1	1.62e-36	6.01e-36	0	1.51e-52	4.61e-18	2.18e-105	1	1	1	1	3.3e-68
147963710	1	1	3.93e-47	2.76e-56	1	1	4.31e-42	1	9.38e-116	1.95e-51	1	1	1.51e-08	1	4.46e-48	0	2e-48	2.68e-34	5.86e-154	1	1	1	1.17e-05	8.95e-54
148050606	1	1	4.68e-48	4.53e-62	9.79e-06	1	2.88e-43	1	6.19e-60	2.65e-60	1	1	2.27e-07	1	4.6e-106	0	3e-102	4.94e-57	0	1	1	1	7.69e-31	4.86e-118
149065964	9.06e-11	1.81e-14	6.96e-62	1.66e-80	1	1	2.28e-51	1	5.39e-128	2.26e-78	1	1	7.58e-08	1	9.75e-51	0	8.71e-73	6.32e-33	4.38e-120	1	1	1	3.15e-11	7.27e-102
149284063	2.37e-77	3.5e-88	0	1.48e-153	1	0	1.27e-51	1.15e-131	5.98e-144	8.19e-80	1	7.74e-139	4.89e-68	0	1	1.57e-49	1	1	1	1	1	1	1	1
150114593	1	1	3.69e-54	1.54e-58	1	1	1.14e-37	1	5.67e-116	1.19e-49	1	1	1	1	1	0	1	1	1	1	1	1	1	1
150964543	3.39e-08	2.28e-14	1.06e-59	2.18e-88	1	1	3.84e-58	1	4.61e-118	8.11e-74	1	1	4.99e-05	1	4.87e-57	0	1.14e-77	1e-22	8.27e-126	1	1	1	4.39e-25	9.44e-82
151333694	7.07e-12	1	1.42e-63	1.4e-73	1	1	1.52e-46	1	1.81e-131	2.02e-76	1	1	1	1	7.77e-63	0	4.97e-76	1e-53	0	1	1	1	1.57e-11	9.13e-18
153519139	1.85e-09	1	1	8.16e-80	6.77e-06	1	4.89e-50	1	1	5.42e-65	1	1	0.000211	1	1	1	6.83e-91	1	8.29e-109	1	1	1	1	8.61e-125
154247225	2.06e-23	1.63e-99	6.81e-151	1.34e-92	1.34e-92	0	0	1.87e-169	0	4.61e-171	4.61e-171	7.7e-155	2.76e-99	0	3.85e-26	0	2.19e-60	7.46e-21	1.11e-96	1	1	1	2.55e-05	5.7e-59
154383565	2.05e-79	2.6e-82	0	6.31e-151	1.12e-05	0	3.29e-56	3.24e-139	2.03e-141	2.15e-88	1	7.93e-140	7.68e-75	0	1	2.55e-52	3.74e-71	1	3.84e-155	1	1	1	1	2.96e-36
154633659	0.000209	1.65e-05	4.6e-67	5.96e-75	1	0.000104	9.7e-64	1.36e-12	2.19e-139	5.23e-72	1	1.21e-38	1	1	1.32e-105	6.93e-125	1	1	0	1	1	1	5.62e-31	1.42e-103
155398659	4.55e-07	1	1	2.28e-71	5.14e-05	1	9.68e-39	1	1	3.17e-60	1	1	1	1	1	1	3.11e-82	1	9.7e-101	1	1	1	1	1.64e-63
155730765	1.4e-09	1	1	5.04e-82	1	1	7.76e-54	1	1	1.69e-82	1	1	1	1	3.56e-57	1	5.83e-72	1	1.58e-124	1	1	1	1	1
156621401	1.9e-71	6.01e-84	0	2.53e-146	1	0	4.55e-53	1.19e-121	1.33e-148	5.35e-82	1	1.59e-142	1.26e-81	0	1	2.06e-49	2.88e-65	1	1	1	1	1	2.29e-13	1
157165140	3.66e-15	3.01e-23	1.11e-87	2.74e-92	1	3.01e-12	1.85e-71	8.65e-14	2.45e-80	3.57e-82	1	8.17e-36	1.53e-07	7e-05	5.9e-36	1.75e-140	5.97e-27	1	2.17e-93	1	1	1	3.46e-15	1.44e-61
160547437	1	1	1.13e-45	3.94e-57	1	1	7.66e-42	1	4.73e-102	8.48e-49	1	1	1	1	4.82e-25	0	6.39e-37	1.74e-19	1.57e-80	1	1	1	1.22e-05	9.83e-63
160720125	2.76e-08	1	1	6.69e-80	1	1	7.75e-55	1	1	8.29e-76	1	1	4.18e-06	1	8.63e-64	1	1.92e-69	3.49e-30	4.86e-115	1	1	1	6.87e-11	1
160833143	6.92e-07	1	2.39e-52	1.36e-66	1	1	1.83e-52	6.47e-14	3.7e-144	2.71e-63	1	1	0.000137	1	1.7e-25	0	2.03e-21	1	2.75e-79	1	1	1	1	2.73e-56
161109510	2.34e-14	3.12e-10	1.44e-65	1e-88	2.96e-79	1	8.37e-74	4.82e-15	6.41e-159	4.82e-88	1.36e-82	1.15e-39	0.000628	1	1.04e-34	5.35e-137	1.53e-24	1	1.04e-88	1	1	1	1.28e-14	4.98e-59
162566084	8.2e-06	1	3.73e-51	8.47e-67	1	1	2.69e-53	3.01e-09	4.14e-139	2.52e-67	1	1	1	1	6.42e-26	1.06e-179	1	1	1	1	1	1	1.43e-05	5.95e-57
162871308	1.98e-70	0	0	1.6e-123	1	0	7.27e-55	9.67e-85	6.51e-155	1.14e-86	1	7.01e-117	1.57e-55	3.67e-144	1	5.18e-55	1	1	1	1	1	1	1	1
163670715	1.51e-07	1	9.4e-58	1.16e-73	1.26e-05	1	8.34e-46	1	6.35e-74	5.71e-68	1	1	1	1	1.37e-56	0	5.01e-71	2.14e-38	9.34e-116	1	1	1	8.83e-16	2.75e-48
165258773	4.48e-70	3.12e-87	0	5.7e-148	1	0	2.22e-52	4.07e-135	3.76e-143	2.17e-79	1	9.06e-140	1.29e-66	0	1	5.27e-52	1	1	1	1	1	1	1	1
166243049	3.81e-11	1	4.4e-57	4.2e-88	1	1	2.78e-61	1	3.82e-141	2.53e-80	1	1	1.36e-05	1	3.54e-56	0	4.96e-74	7.33e-30	4.74e-118	1	1	1	0.000704	4.91e-21
166448433	6e-11	1	5.69e-106	3.54e-80	2.05e-06	1	3.85e-46	3.65e-05	1.67e-126	1.44e-58	1	1	3.84e-05	1	1.27e-71	0	2.71e-81	5.17e-30	1.36e-125	1	1	1	1.77e-29	1.86e-93
168660753	2.19e-24	1.52e-49	3.73e-141	6.79e-96	6.79e-96	0	0	2.19e-128	0	4.82e-147	4.82e-147	1.78e-110	5.04e-60	8.07e-146	8.09e-25	0	2.57e-56	8.97e-17	8.3e-82	1	1	1	0.000649	7.2e-56
168822427	1.4e-43	5.06e-94	0	5.02e-125	1	0	5.71e-54	3.72e-102	2.86e-149	2.23e-92	1	7.07e-123	2.15e-56	2.74e-164	1	8.78e-51	1	1	1	1	1	1	1	1
169110027	4.65e-10	1	1	1.71e-80	1	1	6.1e-54	1	1	6.83e-83	1	1	5.29e-05	1	4.84e-48	1	8.91e-68	1	1.04e-126	1	1	1	1	1
169557191	9.07e-13	2.18e-10	1	1.01e-80	1	1	2.51e-62	1	1	7.11e-75	1	1	1	1	1	1	1	1	1	1	1	1	1	1
171198478	2.79e-08	1	1.1e-59	5.56e-72	0.000222	1	1.99e-45	1	1.12e-124	2.54e-63	1	1	4.49e-07	1	4.86e-59	0	3.9e-83	3.79e-35	1.15e-110	1	1	1	1.28e-06	5.86e-44
171204584	1	1	1.08e-53	1.17e-56	1	1	2.67e-35	1	9.44e-129	8.9e-50	1	1	1	1	1	0	1	1	1	1	1	1	1	1
172301783	3.46e-07	1	1.54e-51	2.96e-68	1	1	5.78e-54	1	4.89e-73	1.33e-68	1	1	1	1	1	9.49e-89	1	1	1	1	1	1	1	2.46e-21
172772907	1	1	8.66e-49	3.42e-69	1	1	3.65e-41	1	4.33e-103	3.61e-59	1	1	1	1	1	0	9.98e-61	1	1	1	1	1	1	2.11e-51
173093245	1.08e-09	1	1	5.37e-72	1	1	2.84e-39	1	1	2.16e-57	1	1	1	1	1	1	1.43e-94	1	1	1	1	1	1	1.86e-145
173945943	1	1	3.58e-58	5.63e-62	0.000264	1	4.15e-38	1	3.69e-61	1.39e-53	1	1	0.000812	1	1.48e-07	9.61e-106	1	1	1	1	1	1	1	1.22e-54
174105055	1.59e-07	1	1	4.63e-78	1	1	2.85e-40	1	1	3.44e-61	1	1	1	1	1	1	3.23e-90	1	1.35e-113	1	1	1	1	1.68e-133
175490666	1.36e-06	1	1.85e-51	2.41e-66	1	1	2.09e-53	1	9.59e-143	2.87e-65	1	1	1	1	1	0	1	1	1	1	1	1	1	1
175920335	1.87e-13	1	1.86e-61	1.02e-74	1	1	1.7e-43	1	1.25e-126	1.03e-65	1	1	0.000486	1	1	0	1.58e-81	1	1.64e-131	1	1	1	1	6.06e-99
176011747	1.01e-08	1	1	5.96e-73	1	1	3.6e-43	1	1	5.05e-66	1	1	1	1	0.00046	1	1	6.57e-32	1	1	1	1	1	5.1e-50
176576166	4.83e-06	1	1.24e-63	1.26e-81	1	1	4.51e-57	1	1.52e-109	1.49e-73	1	1	2.6e-06	1	6.55e-06	0	3.29e-85	1	1	1	1	1	1	1.24e-50
178240807	1	1	1.05e-48	1.56e-62	1	1	5.09e-40	1	2.71e-109	1.08e-60	1	1	1	1	1	0	4.04e-63	1	1	1	1	1	1	4.99e-24
178874253	5.3e-07	1	1	8.2e-69	1	1	9.93e-39	1	1	1.66e-55	1	1	1	1	1	1	2.69e-92	1	1	1	1	1	1	1.76e-153
179252222	1.76e-06	1	1	9.21e-70	1	1	4.27e-37	1	1	7.6e-59	1	1	1	1	1	1	1.72e-67	1	7.63e-105	1	1	1	1	1.46e-48
181032025	3.93e-13	1	5.91e-59	2.59e-81	2.59e-81	1	1.33e-58	1	1.01e-130	2.15e-79	2.15e-79	1	1	1	1	0	1	1	1	1	1	1	1	1
182024976	7.15e-26	0	3.49e-170	2.57e-93	2.57e-93	1	0	1	0	2.61e-167	2.61e-167	1.3e-153	1.13e-101	0	3.86e-25	0	6.36e-62	2.75e-21	9.65e-96	1	1	1	3.24e-06	2.85e-57
182387829	3.88e-08	1	7.32e-57	6.28e-83	1	1	1.72e-58	1	6.63e-65	2.65e-71	1	1	1	1	3.59e-79	1.8e-107	9.13e-53	9.25e-42	1.62e-166	1	1	1	1	3.56e-16
182453981	7.1e-07	1	5.65e-108	5.1e-71	1.22e-07	1	6.87e-38	1	5.07e-75	1.7e-55	1	1	0.000166	1	6.04e-87	0	1.04e-94	3.25e-66	0	0.00014	0.00014	1	5.16e-52	4.88e-153
184176769	5.73e-17	1.27e-10	1.84e-60	2.17e-81	2.17e-81	1	2.36e-51	1	2.66e-143	1.09e-74	1.09e-74	0.000711	1	1	1.3e-05	1.95e-109	1	1	1	1	1	1	1	3.09e-65
185320565	4.11e-14	0.000353	1	2.41e-80	1	1	2.58e-65	1	1	4.48e-78	1	1	1	1	1	1	1	1	1	1	1	1	1	1
185584732	2.01e-06	1	5.17e-64	3.91e-72	1	1	3.14e-42	1	1.13e-124	6.09e-61	1	1	1.51e-06	1	8.5e-92	0	1.7e-93	5.46e-66	0	1	1	1	8.79e-46	2.77e-153
187124396	8.49e-06	1	2.07e-59	3.05e-69	1	1	1.21e-34	1	3.7e-65	1.03e-55	1	1	1	1	1.88e-71	0	6.85e-84	2.37e-28	1.11e-125	1	1	1	1.01e-16	5.61e-102
187312291	1.11e-07	1	3.37e-58	5.43e-72	1	1	6.8e-56	1	1.56e-149	1.79e-65	1	1	1	1	1	0	2.12e-17	1	4.09e-79	1	1	1	1	8.13e-59
187946142	0.000101	1.57e-61	6.95e-30	3.56e-53	2.43e-24	2.69e-13	1.14e-43	5.14e-14	1.44e-75	1.44e-54	5.15e-32	5.7e-38	1	1	8.02e-41	2.28e-55	1	1	1.23e-104	1	1	1	9.67e-18	3.02e-64
189145202	6.58e-41	4.82e-93	0	1.98e-122	1	0	2.89e-53	1.74e-88	2.65e-139	3.08e-73	1	4.9e-117	1.55e-60	4.08e-156	1	1.57e-55	1	1	1	1	1	1	1	1
190624015	8e-113	4.67e-86	0	8.71e-156	1	0	6.58e-60	1.74e-135	9.56e-141	3.86e-88	1	1.04e-138	5.57e-82	0	1	8.29e-50	1	1	1	1	1	1	1	1
191196837	5.3e-28	2.75e-100	4.02e-172	2.06e-93	2.06e-93	0	0	1.2e-166	0	2.82e-168	2.82e-168	1.23e-155	2.77e-104	0	3.85e-23	0	6.46e-62	3.32e-22	5.2e-101	4.02e-05	4.02e-05	1	5.03e-05	6.13e-60
191382480	4.24e-11	1	1	2.88e-77	1	1	4.32e-45	1	1	5.94e-64	1	1	1	1	1	1	6.3e-83	1	3.68e-112	1	1	1	1	1.17e-123
191664702	1.19e-09	1	7.5e-98	1.4e-80	1	1	8.27e-51	0.000367	1.08e-130	3.81e-77	1	3.98e-05	6.01e-05	1	3.19e-65	0	9.06e-78	1.58e-31	2.02e-175	1	1	1	1.2e-17	1.48e-93
192118792	8.78e-10	1.67e-33	1.46e-64	1.45e-75	1	1	8.22e-47	1	5.34e-125	1.44e-79	1	1	1.51e-06	1	1.92e-57	0	7.79e-75	6.2e-31	1.74e-126	1	1	1	5.72e-11	2.06e-101
192505955	7.06e-22	4.52e-79	4.62e-147	6.7e-94	6.7e-94	0	0	1.46e-132	0	1.43e-142	1.43e-142	2e-112	1.67e-59	7.36e-139	1.99e-21	0	7.69e-53	1.28e-16	1.56e-81	1	1	1	1	1.44e-58
192935575	8.63e-05	1	3.63e-46	1.15e-63	1	1	8.54e-48	1	1.09e-134	8.7e-56	1	1	1	1	1	9.87e-177	1	1	1	1	1	1	1	1.07e-23
194527439	2.55e-15	1	8.71e-60	2.02e-90	2.02e-90	1	1.84e-65	1	8e-129	2.1e-83	2.1e-83	1	1	1	1	0	1	1	1	1	1	1	1	1
195457249	1.44e-07	1	1	3.97e-79	6.73e-05	1	1.81e-52	1	1	6.02e-67	1	1	0.000274	1	1	1	5.15e-89	1	5.25e-110	1	1	1	1	1.93e-113
196997135	3.44e-09	1	1	3.9e-80	1	1	6.47e-53	1	1	5.08e-68	1	1	1	1	1	1	3.54e-88	1	5.99e-112	1	1	1	1	1.21e-114
198670661	1	3.19e-11	2.9e-49	3.3e-50	1	1	1.47e-26	1	4.51e-59	5.47e-41	1	1	1.53e-06	1	1.28e-35	0	1.84e-39	7.06e-33	1.32e-79	1.32e-133	1.32e-133	1.56e-64	5.37e-07	2.41e-63
198799671	9.06e-08	1	4.01e-61	8.24e-73	1	1	1.21e-41	1	2.92e-130	2.99e-64	1	1	0.000388	1	3.52e-59	0	5.68e-81	9.57e-30	4.26e-106	1	1	1	0.000168	1.32e-54
199070015	1	1	1	1.27e-74	1	1	8.23e-58	1	1	1.88e-76	1	1	8.49e-06	1	2.16e-17	1	7.83e-15	1	1	1	1	1	0.00089	9.51e-55
199079065	1.81e-06	1	7.06e-52	3.54e-57	1	1	1.02e-47	1	4.41e-140	1.46e-64	1	1	1	1	1	0	1	1	1	1	1	1	1	3.39e-23
201873771	1.44e-48	0	0	3.56e-123	1	0	5.25e-52	5.24e-99	2.2e-148	7.44e-78	1	8.28e-124	6.63e-57	1.19e-161	1	5.28e-56	1	1	1	1	1	1	1	1
203448056	1.51e-15	1	7.6e-70	1.21e-90	1.21e-90	1	1.9e-66	1	6.6e-165	6.15e-94	6.15e-94	1	1	1	1	0	1	1	1	1	1	1	1	1
203493073	7e-15	1	3.71e-59	1.02e-74	1.02e-74	1	1.87e-49	1	7.8e-148	1.42e-70	1	1	1	1	1	3.23e-122	1	1	1	1	1	1	1	1
205011332	1.73e-09	1	1	7.14e-94	1	1	5.49e-57	1	1	4.82e-79	1	1	2.32e-05	1	1.48e-62	1	5.56e-70	7.11e-27	5.01e-117	1	1	1	4.02e-13	1
